CBSA Code,CBSA_title,metro_micro_area,user_est,pop_est,inter_cbsa_connections,outer_county_inter_cbsa_connections,outer_cbsa_connections,total inter_cbsa connections,total connections,coverage est,rescaled total inter_cbsa connections,rescaled outer_cbsa_connections,rescaled total connections,normed pop_est
10100,"Aberdeen, SD",Micropolitan Statistical Area,22110,42536,7907630.599134538,713997.3903135201,15979271.33229773,8621627.98944806,24600899.32174579,0.5197949971788602,0.09951480391904645,0.15145720429232892,0.12803620535891877,0.12294522317380845
10140,"Aberdeen, WA",Micropolitan Statistical Area,40372,76176,11237518.943409408,,20741353.44857839,11237518.943409408,31978872.3919878,0.5299831968073934,0.12721515269169265,0.19281466042981396,0.16323562692875437,0.22017762179067218
10180,"Abilene, TX",Metropolitan Statistical Area,89926,178904,28020161.70595482,6581010.43922108,63173473.820810735,34601172.145175904,97774645.96598664,0.502649465635201,0.4130057452523525,0.6192051983276989,0.5262291876727979,0.5171006255098511
10220,"Ada, OK",Micropolitan Statistical Area,20069,38341,8252010.785584329,,15456690.540390722,8252010.785584329,23708701.325975053,0.5234344435460734,0.09458624767904623,0.14548535392827514,0.12253477974210597,0.11082007715128338
10300,"Adrian, MI",Micropolitan Statistical Area,52549,98924,17765948.792832155,,31793215.08093091,17765948.792832155,49559163.87376307,0.5312057741296349,0.20065783681290036,0.29487416290678603,0.25239171201701643,0.2859279964558451
10420,"Akron, OH",Metropolitan Statistical Area,371366,699833,150135254.5688685,24629197.456820242,241869218.3923961,174764452.02568874,416633670.41808486,0.5306494549413932,1.9759496968276886,2.2456286412735356,2.1240295194609407,2.022783627266219
10460,"Alamogordo, NM",Micropolitan Statistical Area,36019,68454,9263567.857410109,,24557160.441840943,9263567.857410109,33820728.29925105,0.5261781634382213,0.10562725010323099,0.22993780802435898,0.17388576915901735,0.19785810389175953
10500,"Albany, GA",Metropolitan Statistical Area,77389,151074,40379501.972728394,23102743.019628983,83664329.15294142,63482244.99235737,147146574.14529878,0.512258892992838,0.7435210651315991,0.8046664359377959,0.7770957874089781,0.4366613373556502
10540,"Albany, OR",Metropolitan Statistical Area,68513,131011,15042976.821816001,,39498017.53040266,15042976.821816001,54540994.35221866,0.5229560876567616,0.17258341985138276,0.37211325081864893,0.2821445946786913,0.37867163422098504
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,481195,895503,146273067.86330467,118920125.58377928,271132201.8782775,265193193.44708395,536325395.32536143,0.5373460502086537,2.961002808540805,2.4859483442278196,2.700151962505523,2.5883443715397543
10620,"Albemarle, NC",Micropolitan Statistical Area,33247,62890,15949244.16247304,,28209547.057141293,15949244.16247304,44158791.219614334,0.5286532040069963,0.18100882326636533,0.2628998294704531,0.22597490580157378,0.18177602702183593
10660,"Albert Lea, MN",Micropolitan Statistical Area,16105,30656,5285911.06839048,,10248429.092533795,5285911.06839048,15534340.160924274,0.5253457724425887,0.06036776782370562,0.0961118903070511,0.07999474807754552,0.08860750332932744
10700,"Albertville, AL",Micropolitan Statistical Area,50675,98299,20458252.2177748,,37759941.72518452,20458252.2177748,58218193.94295932,0.5155189778125921,0.23809724924571582,0.36087077960812636,0.3055117915173859,0.28412150866941405
10740,"Albuquerque, NM",Metropolitan Statistical Area,469004,922905,145091944.79910126,54055893.922507584,239637244.1983902,199147838.72160885,438785082.919999,0.5081823156229515,2.35118367064037,2.323270772149491,2.3358567897590956,2.667546576857807
10780,"Alexandria, LA",Metropolitan Statistical Area,77165,151244,48013091.418205984,8704473.4260159,65208129.346108116,56717564.84422188,121925694.19033,0.5102020576022851,0.6669693513531612,0.6296868094737401,0.6464976300618832,0.4371527020335595
10820,"Alexandria, MN",Micropolitan Statistical Area,21230,39511,6627190.70390663,,15818767.64095837,6627190.70390663,22445958.344865,0.5373187213687327,0.07399936662740074,0.1450459925554493,0.11301083557146215,0.11420182228748227
10860,"Alice, TX",Micropolitan Statistical Area,18437,38443,8314334.736918408,,13974281.755943762,8314334.736918408,22288616.492862172,0.47959316390500223,0.10401237866392783,0.14355607360371397,0.1257256916738829,0.11111489595802893
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,453766,867198,121968403.21261787,64485080.495353654,266826905.34601718,186453483.7079715,453280389.0539887,0.5232553580612501,2.1378996941501778,2.512354937924329,2.343511838606276,2.506532152667866
10940,"Alma, MI",Micropolitan Statistical Area,20223,41409,5111626.726892448,,13376939.225237343,5111626.726892448,18488565.952129792,0.4883720930232558,0.06279698605236589,0.13494940525042765,0.1024156424490075,0.11968776439731602
10980,"Alpena, MI",Micropolitan Statistical Area,15702,28606,5813237.62152063,,8313157.314333168,5813237.62152063,14126394.935853798,0.5489058239530169,0.06354051696652184,0.07461621588833288,0.06962214686629481,0.08268222338983366
11020,"Altoona, PA",Metropolitan Statistical Area,64952,121369,31598929.09292392,,37064877.734677136,31598929.09292392,68663806.82760106,0.5351613674002422,0.3542567359087196,0.3412265987002216,0.34710193036509013,0.35080258584215623
11060,"Altus, OK",Micropolitan Statistical Area,12464,24468,3789910.376825232,,10759586.39354472,3789910.376825232,14549496.770369953,0.509400032695766,0.04463756325195422,0.1040642763656611,0.07726857623532755,0.07072182905343109
11100,"Amarillo, TX",Metropolitan Statistical Area,136738,271776,45718863.34171315,32961475.44214437,96722178.01294133,78680338.78385752,175402516.79679886,0.5031275756505358,0.93825007412222,0.9471374446291106,0.943130100076937,0.7855360394321272
11140,"Americus, GA",Micropolitan Statistical Area,17419,33473,11484506.06449236,1393767.849321396,20901241.502576306,12878273.913813755,33779515.41639006,0.5203895677112897,0.14847713660794337,0.19788303457768228,0.17560575290918587,0.09674970508032937
